profit_per_user,multi_func_profit_cost,multi_func_worst_profit_cost,multi_func_min_cost_cost,multi_func_max_users_cost,single_func_cost,random_deploy_cost,multi_func_profit_profit,multi_func_worst_profit_profit,multi_func_min_cost_profit,multi_func_max_users_profit,single_func_profit,random_deploy_profit,multi_func_profit_users,multi_func_worst_profit_users,multi_func_min_cost_users,multi_func_max_users_users,single_func_users,random_deploy_users
510.76,32667.81,35412.85,32667.81,34329.04,35412.85,34329.04,-32157.05,-34902.09,-32157.05,-33818.28,-34902.09,-33818.28,1.0,1.0,1.0,1.0,1.0,1.0
514.01,81276.11,120716.4,81276.11,120716.4,100032.14,93780.13,-74593.98,-109922.19,-74593.98,-109922.19,-91807.98,-86069.98,13.0,21.0,13.0,21.0,16.0,15.0
517.21,44660.0,46100.07,44660.0,44660.0,46100.07,44660.0,-44142.79,-45582.86,-44142.79,-44142.79,-45582.86,-44142.79,1.0,1.0,1.0,1.0,1.0,1.0
518.86,78254.0,168578.34,78254.0,164831.05,91084.1,91084.1,-77735.14,-167540.62,-77735.14,-163793.33,-90565.24,-90565.24,1.0,2.0,1.0,2.0,1.0,1.0
519.7,6368.35,32643.0,6368.35,32643.0,7456.45,7456.45,-5848.65,-27965.7,-5848.65,-27965.7,-6936.75,-6936.75,1.0,9.0,1.0,9.0,1.0,1.0
523.34,117348.0,244770.15,117348.0,244770.15,127875.19,183577.61,-116301.32,-242676.79,-116301.32,-242676.79,-126828.51,-182007.59,2.0,4.0,2.0,4.0,2.0,3.0
525.54,63510.39,67705.88,63510.39,65697.5,67705.88,65697.5,-62984.85,-67180.34,-62984.85,-65171.96,-67180.34,-65171.96,1.0,1.0,1.0,1.0,1.0,1.0
525.56,82038.0,175468.0,82038.0,173441.85,175468.0,85017.72,-81512.44,-174416.88,-81512.44,-172390.73,-174416.88,-84492.16,1.0,2.0,1.0,2.0,2.0,1.0
528.17,9917.6,46634.46,9917.6,32287.64,46634.46,40805.15,-7804.92,-42409.1,-7804.92,-27534.11,-42409.1,-37107.96,4.0,8.0,4.0,9.0,8.0,7.0
531.39,17120.42,30844.8,17120.42,30844.8,21400.53,21400.53,-14994.86,-26593.68,-14994.86,-26593.68,-18743.58,-18743.58,4.0,8.0,4.0,8.0,5.0,5.0
535.0,22802.0,72040.36,22802.0,57176.75,55285.38,60853.98,-20127.0,-67225.36,-20127.0,-51826.75,-53145.38,-58178.98,5.0,9.0,5.0,10.0,4.0,5.0
535.1,5391.1,88935.0,5391.1,88935.0,6477.76,15964.98,-4856.0,-77697.9,-4856.0,-77697.9,-5942.66,-14359.68,1.0,21.0,1.0,21.0,1.0,3.0
541.57,7633.6,37192.11,7633.6,37192.11,37192.11,16398.78,-7092.03,-35025.83,-7092.03,-35025.83,-35025.83,-15315.64,1.0,4.0,1.0,4.0,4.0,2.0
543.15,74074.0,236003.3,74074.0,236003.3,157335.53,157335.53,-73530.85,-234373.85,-73530.85,-234373.85,-156249.23,-156249.23,1.0,3.0,1.0,3.0,2.0,2.0
546.04,11567.4,23931.83,11567.4,23931.83,13040.66,11965.92,-11021.36,-22839.75,-11021.36,-22839.75,-12494.62,-11419.88,1.0,2.0,1.0,2.0,1.0,1.0
547.76,9703.2,45249.29,9703.2,45249.29,27844.35,27844.35,-7512.16,-38128.41,-7512.16,-38128.41,-24557.79,-24557.79,4.0,13.0,4.0,13.0,6.0,6.0
549.7,19052.8,54039.21,19052.8,54039.21,43231.37,43231.37,-17953.4,-51290.71,-17953.4,-51290.71,-41032.57,-41032.57,2.0,5.0,2.0,5.0,4.0,4.0
550.16,55800.0,186762.0,55800.0,182892.55,124508.0,59860.43,-55249.84,-185111.52,-55249.84,-181242.07,-123407.68,-59310.27,1.0,3.0,1.0,3.0,2.0,1.0
