test_data_id,multi_func_profit_info,multi_func_time,compute_first_info,compute_first_time,memory_first_info,memory_first_time,single_func_info,single_func_time,random_deploy_info,random_deploy_time
51,"[270.8, 113.2, 2, [(0, 2), (1, 3), (2, 3), (3, 4)]]",0.0277,"[141.16, 50.84, 1, [(0, 5), (1, 7), (2, 5), (3, 7)]]",0.0,"[282.32, 101.68, 2, [(0, 8), (1, 5), (2, 3), (3, 7)]]",0.0,"[127.84, 64.16, 1, [(0, 3), (1, 3), (2, 3), (3, 3)]]",0.0,"[282.32, 101.68, 2, [(0, 7), (1, 8), (2, 4), (3, 8)]]",0.0
52,"[269.52, -93.52, 1, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]]",2.1125,"[286.25, -110.25, 1, [(0, 4), (1, 9), (2, 4), (3, 9), (4, 4)]]",0.001,"[858.75, -330.75, 3, [(0, 6), (1, 3), (2, 6), (3, 13), (4, 4)]]",0.001,"[269.52, -93.52, 1, [(0, 4), (1, 4), (2, 4), (3, 4), (4, 4)]]",0.0,"[286.25, -110.25, 1, [(0, 2), (1, 3), (2, 9), (3, 5), (4, 9)]]",0.0
53,"[151.43, -20.43, 1, [(0, 2), (1, 2), (2, 2), (3, 2)]]",0.0027,"[153.14, -22.14, 1, [(0, 4), (1, 3), (2, 4), (3, 3)]]",0.0,"[153.14, -22.14, 1, [(0, 2), (1, 3), (2, 4), (3, 3)]]",0.0,"[151.43, -20.43, 1, [(0, 2), (1, 2), (2, 2), (3, 2)]]",0.0,"[153.14, -22.14, 1, [(0, 3), (1, 4), (2, 5), (3, 4)]]",0.0
54,"[147.29, -22.29, 1, [(0, 3), (1, 3), (2, 3), (3, 3)]]",0.0247,"[153.26, -28.26, 1, [(0, 7), (1, 3), (2, 7), (3, 3)]]",0.001,"[306.52, -56.52, 2, [(0, 8), (1, 3), (2, 8), (3, 1)]]",0.0,"[147.29, -22.29, 1, [(0, 3), (1, 3), (2, 3), (3, 3)]]",0.0,"[306.52, -56.52, 2, [(0, 7), (1, 2), (2, 1), (3, 6)]]",0.0
55,"[221.63, 828.37, 7, [(0, 5), (1, 4)]]",0.001,"[31.66, 118.34, 1.0, [(0, 4), (1, 2)]]",0.0,"[189.96, 710.04, 6, [(0, 4), (1, 5)]]",0.0,"[57.92, 242.08, 2, [(0, 1), (1, 1)]]",0.0,"[28.96, 121.04, 1, [(0, 9), (1, 9)]]",0.0
56,"[195.78, -4.78, 1, [(0, 1), (1, 1), (2, 7), (3, 7), (4, 7)]]",0.0577,"[209.46, -18.46, 1, [(0, 1), (1, 7), (2, 1), (3, 7), (4, 1)]]",0.0,"[418.92, -36.92, 2, [(0, 1), (1, 7), (2, 4), (3, 7), (4, 1)]]",0.001,None,0.0,"[209.46, -18.46, 1, [(0, 5), (1, 4), (2, 2), (3, 1), (4, 3)]]",0.0
57,"[194.93, 1149.07, 8, [(0, 2), (1, 3)]]",0.001,"[48.73, 287.27, 2.0, [(0, 7), (1, 6)]]",0.0,"[194.93, 1149.07, 8, [(0, 3), (1, 2)]]",0.0,"[23.01, 144.99, 1, [(0, 1), (1, 1)]]",0.0,"[92.02, 579.98, 4, [(0, 2), (1, 2)]]",0.0
58,"[264.0, 256.0, 5, [(0, 1), (1, 2), (2, 3), (3, 3)]]",0.0135,None,0.001,"[159.51, 152.49, 3.0, [(0, 3), (1, 4), (2, 3), (3, 4)]]",0.0,"[51.91, 52.09, 1, [(0, 1), (1, 1), (2, 1), (3, 1)]]",0.0,"[53.17, 50.83, 1, [(0, 1), (1, 6), (2, 5), (3, 3)]]",0.0
59,"[425.93, 569.07, 5, [(0, 9), (1, 4), (2, 4), (3, 1), (4, 2)]]",0.5929,"[268.79, 328.21, 3, [(0, 4), (1, 1), (2, 4), (3, 1), (4, 4)]]",0.0,None,0.0,"[73.92, 125.08, 1, [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]]",0.0,"[89.6, 109.4, 1, [(0, 7), (1, 8), (2, 2), (3, 6), (4, 3)]]",0.0
60,"[406.4, 385.6, 4, [(0, 6), (1, 8), (2, 4), (3, 5), (4, 7), (5, 2)]]",7.3753,"[101.6, 96.4, 1, [(0, 2), (1, 8), (2, 2), (3, 8), (4, 2), (5, 8)]]",0.0,"[203.2, 192.8, 2, [(0, 7), (1, 5), (2, 7), (3, 5), (4, 7), (5, 2)]]",0.001,"[90.3, 107.7, 1, [(0, 7), (1, 7), (2, 7), (3, 7), (4, 7), (5, 7)]]",0.0,"[100.45, 97.55, 1, [(0, 4), (1, 8), (2, 10), (3, 10), (4, 8), (5, 6)]]",0.001
