test_data_id,multi_func_profit_info,multi_func_time,compute_first_info,compute_first_time,memory_first_info,memory_first_time,single_func_info,single_func_time,random_deploy_info,random_deploy_time
23,"[87.85, 532.15, 2, [(0, 1), (1, 1)]]",0.001,"[49.44, 260.56, 1, [(0, 1), (1, 2)]]",0.0,"[49.44, 260.56, 1, [(0, 1), (1, 4)]]",0.0,"[87.85, 532.15, 2, [(0, 1), (1, 1)]]",0.0,"[49.44, 260.56, 1, [(0, 4), (1, 3)]]",0.0
24,"[280.06, 799.94, 3, [(0, 4), (1, 4), (2, 5), (3, 5), (4, 6)]]",0.0706,"[189.89, 530.11, 2, [(0, 5), (1, 4), (2, 5), (3, 4), (4, 5)]]",0.0,"[189.89, 530.11, 2, [(0, 5), (1, 4), (2, 5), (3, 6), (4, 5)]]",0.0,"[92.71, 267.29, 1, [(0, 5), (1, 5), (2, 5), (3, 5), (4, 5)]]",0.0,"[94.7, 265.3, 1, [(0, 4), (1, 5), (2, 5), (3, 2), (4, 3)]]",0.0
25,"[324.98, 3071.02, 12, [(0, 3), (1, 2)]]",0.0,"[216.66, 2047.34, 8, [(0, 2), (1, 3)]]",0.0,"[216.66, 2047.34, 8, [(0, 2), (1, 3)]]",0.001,"[24.04, 258.96, 1, [(0, 1), (1, 1)]]",0.0,"[120.21, 1294.79, 5, [(0, 3), (1, 3)]]",0.0
26,"[243.68, 608.32, 2, [(0, 4), (1, 4), (2, 3), (3, 3), (4, 3)]]",0.019,"[284.64, 567.36, 2, [(0, 3), (1, 4), (2, 3), (3, 4), (4, 3)]]",0.0,"[284.64, 567.36, 2, [(0, 3), (1, 4), (2, 3), (3, 4), (4, 3)]]",0.0,"[116.4, 309.6, 1, [(0, 3), (1, 3), (2, 3), (3, 3), (4, 3)]]",0.0,"[142.32, 283.68, 1, [(0, 4), (1, 1), (2, 6), (3, 3), (4, 4)]]",0.0
27,"[470.77, 593.23, 4, [(0, 3), (1, 3), (2, 4)]]",0.0,"[240.37, 291.63, 2, [(0, 2), (1, 1), (2, 2)]]",0.0,"[240.37, 291.63, 2.0, [(0, 3), (1, 1), (2, 3)]]",0.0,"[232.09, 299.91, 2, [(0, 1), (1, 1), (2, 1)]]",0.0,"[240.37, 291.63, 2.0, [(0, 2), (1, 3), (2, 4)]]",0.0
28,"[211.33, 1968.67, 5, [(0, 1), (1, 3)]]",0.001,"[169.07, 1574.93, 4, [(0, 3), (1, 1)]]",0.0,"[169.07, 1574.93, 4, [(0, 3), (1, 1)]]",0.0,"[82.07, 789.93, 2, [(0, 1), (1, 1)]]",0.0,"[42.27, 393.73, 1, [(0, 4), (1, 2)]]",0.0
29,"[334.75, 2444.25, 7, [(0, 2), (1, 3)]]",0.0,"[143.46, 1047.54, 3, [(0, 4), (1, 3)]]",0.0,"[334.75, 2444.25, 7, [(0, 2), (1, 3)]]",0.0,"[42.99, 354.01, 1, [(0, 1), (1, 1)]]",0.0,"[47.82, 349.18, 1, [(0, 1), (1, 4)]]",0.0
30,"[322.63, 857.37, 4, [(0, 2), (1, 1), (2, 1)]]",0.0015,"[331.43, 848.57, 4, [(0, 1), (1, 3), (2, 1)]]",0.0,"[331.43, 848.57, 4, [(0, 1), (1, 2), (2, 1)]]",0.0,"[236.72, 648.28, 3, [(0, 1), (1, 1), (2, 1)]]",0.0,"[331.43, 848.57, 4.0, [(0, 3), (1, 2), (2, 1)]]",0.0
31,"[388.66, 850.34, 3, [(0, 6), (1, 6), (2, 1), (3, 3), (4, 4)]]",0.0571,"[132.56, 280.44, 1, [(0, 1), (1, 6), (2, 1), (3, 6), (4, 1)]]",0.0,"[265.12, 560.88, 2, [(0, 6), (1, 1), (2, 6), (3, 4), (4, 3)]]",0.0,"[116.67, 296.33, 1, [(0, 6), (1, 6), (2, 6), (3, 6), (4, 6)]]",0.0,"[128.22, 284.78, 1, [(0, 1), (1, 4), (2, 1), (3, 1), (4, 6)]]",0.0
32,"[391.54, 1418.46, 5, [(0, 4), (1, 4), (2, 3), (3, 2)]]",0.0065,"[241.22, 844.78, 3, [(0, 2), (1, 3), (2, 2), (3, 3)]]",0.0,"[241.22, 844.78, 3, [(0, 4), (1, 3), (2, 4), (3, 3)]]",0.0,"[73.66, 288.34, 1, [(0, 2), (1, 2), (2, 2), (3, 2)]]",0.0,"[78.56, 283.44, 1.0, [(0, 1), (1, 4), (2, 3), (3, 3)]]",0.0
