test_data_id,multi_func_profit_info,multi_func_worst_profit_info,multi_func_min_cost_info,multi_func_max_users_info,multi_func_time,single_func_info,single_func_time,random_deploy_info,random_deploy_time
134,"[189.72, -108.75, 1.0, [(0, 20), (1, 10), (2, 10), (3, 10), (4, 10)]]","[711.76, -387.88, 4.0, [(0, 16), (1, 16), (2, 16), (3, 16), (4, 16)]]","[189.72, -108.75, 1.0, [(0, 20), (1, 10), (2, 10), (3, 10), (4, 10)]]","[711.76, -387.88, 4.0, [(0, 16), (1, 16), (2, 16), (3, 16), (4, 16)]]",0.0727,None,0.0,None,0.0156
135,"[894.85, -812.52, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19), (4, 19), (5, 19)]]","[914.84, -832.51, 1.0, [(0, 12), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5)]]","[894.85, -812.52, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19), (4, 19), (5, 19)]]","[894.85, -812.52, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19), (4, 19), (5, 19)]]",0.0169,None,0.0,None,0.0166
136,None,None,None,None,0.003,None,0.0,None,0.0105
137,"[180.01, -94.84, 1.0, [(0, 12), (1, 12), (2, 12)]]","[720.04, -379.36, 4.0, [(0, 16), (1, 16), (2, 16)]]","[180.01, -94.84, 1.0, [(0, 12), (1, 12), (2, 12)]]","[720.04, -379.36, 4.0, [(0, 16), (1, 16), (2, 16)]]",0.0077,None,0.0,"[540.03, -284.52, 3.0, [(0, 4), (1, 4), (2, 4)]]",0.0015
138,"[910.15, -823.61, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18)]]","[910.15, -823.61, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18)]]","[910.15, -823.61, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18)]]","[910.15, -823.61, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18)]]",0.0045,None,0.0,None,0.0131
139,None,None,None,None,0.002,None,0.0,None,0.0065
140,None,None,None,None,0.005,None,0.0,None,0.0155
141,"[368.18, -188.42, 2.0, [(0, 18), (1, 18)]]","[736.36, -376.84, 4.0, [(0, 20), (1, 20)]]","[368.18, -188.42, 2.0, [(0, 18), (1, 18)]]","[736.36, -376.84, 4.0, [(0, 20), (1, 20)]]",0.0015,None,0.0,"[368.18, -188.42, 2.0, [(0, 3), (1, 3)]]",0.001
142,None,None,None,None,0.001,None,0.0,None,0.006
143,"[930.75, -838.42, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17)]]","[930.75, -838.42, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17)]]","[930.75, -838.42, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17)]]","[930.75, -838.42, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17)]]",0.003,None,0.0,"[930.75, -838.42, 1.0, [(0, 2), (1, 2), (2, 2), (3, 2)]]",0.014
144,"[561.51, 2.61, 6.0, [(0, 7), (1, 7), (2, 7), (3, 7), (4, 7)]]","[235.97, -47.93, 2.0, [(0, 10), (1, 9), (2, 16), (3, 16), (4, 16)]]","[108.15, -14.13, 1.0, [(0, 18), (1, 18), (2, 16), (3, 16), (4, 16)]]","[561.51, 2.61, 6.0, [(0, 7), (1, 7), (2, 7), (3, 7), (4, 7)]]",0.0428,None,0.0,None,0.0155
145,"[1538.08, -1443.24, 1.0, [(0, 18), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6)]]","[1538.75, -1443.91, 1.0, [(0, 9), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10)]]","[1538.08, -1443.24, 1.0, [(0, 18), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6)]]","[1538.41, -1443.57, 1.0, [(0, 19), (1, 6), (2, 6), (3, 6), (4, 6), (5, 6)]]",0.0114,None,0.0,None,0.0156
146,"[946.05, -849.72, 1.0, [(0, 18), (1, 18)]]","[946.05, -849.72, 1.0, [(0, 18), (1, 18)]]","[946.05, -849.72, 1.0, [(0, 18), (1, 18)]]","[946.05, -849.72, 1.0, [(0, 18), (1, 18)]]",0.002,None,0.0,"[946.05, -849.72, 1.0, [(0, 6), (1, 6)]]",0.0
147,"[570.69, 15.03, 6.0, [(0, 6), (1, 6), (2, 6)]]","[202.41, -7.17, 2.0, [(0, 15), (1, 9), (2, 9)]]","[101.21, -3.59, 1.0, [(0, 14), (1, 12), (2, 12)]]","[570.69, 15.03, 6.0, [(0, 6), (1, 6), (2, 6)]]",0.0086,None,0.0,"[380.46, 10.02, 4.0, [(0, 16), (1, 16), (2, 16)]]",0.0015
148,"[951.3, -852.32, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]","[951.3, -852.32, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]","[951.3, -852.32, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]","[951.3, -852.32, 1.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]",0.004,None,0.0,None,0.0145
149,"[573.84, 27.96, 6.0, [(0, 8), (1, 8), (2, 8), (3, 8), (4, 8)]]","[123.06, -22.76, 1.0, [(0, 17), (1, 3), (2, 4), (3, 5), (4, 5)]]","[102.88, -2.58, 1.0, [(0, 19), (1, 19), (2, 11), (3, 11), (4, 11)]]","[590.4, 11.4, 6.0, [(0, 10), (1, 8), (2, 8), (3, 8), (4, 8)]]",0.0908,None,0.0,None,0.0146
150,None,None,None,None,0.0075,None,0.0,None,0.0095
151,"[579.96, 35.58, 6.0, [(0, 5), (1, 5)]]","[114.3, -11.71, 1.0, [(0, 19), (1, 12)]]","[114.12, -11.53, 1.0, [(0, 17), (1, 3)]]","[579.96, 35.58, 6.0, [(0, 5), (1, 5)]]",0.0025,None,0.0,"[114.3, -11.71, 1.0, [(0, 9), (1, 15)]]",0.0
152,"[583.02, 40.92, 6.0, [(0, 10), (1, 10), (2, 10)]]","[118.87, -14.88, 1.0, [(0, 16), (1, 17), (2, 12)]]","[112.2, -8.21, 1.0, [(0, 20), (1, 20), (2, 18)]]","[583.02, 40.92, 6.0, [(0, 10), (1, 10), (2, 10)]]",0.0154,None,0.0,"[206.64, 1.34, 2.0, [(0, 16), (1, 9), (2, 9)]]",0.0
153,None,None,None,None,0.003,None,0.0,None,0.014
154,None,None,None,None,0.0067,None,0.0,None,0.0159
155,None,None,None,None,0.0205,None,0.0,None,0.015
156,None,None,None,None,0.0015,None,0.0,None,0.0045
157,None,None,None,None,0.001,None,0.0,None,0.0055
158,"[997.4, -886.11, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17)]]","[1038.5, -927.21, 1.0, [(0, 18), (1, 6), (2, 19), (3, 19)]]","[997.4, -886.11, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17)]]","[1021.39, -910.1, 1.0, [(0, 20), (1, 20), (2, 17), (3, 17)]]",0.0232,None,0.0,"[1014.01, -902.72, 1.0, [(0, 10), (1, 20), (2, 20), (3, 20)]]",0.0105
159,"[220.05, -107.33, 1.0, [(0, 20), (1, 20), (2, 20), (3, 16), (4, 16)]]","[1031.44, -467.84, 5.0, [(0, 11), (1, 1), (2, 1), (3, 1), (4, 1)]]","[220.05, -107.33, 1.0, [(0, 20), (1, 20), (2, 20), (3, 16), (4, 16)]]","[1031.2, -467.6, 5.0, [(0, 18), (1, 5), (2, 5), (3, 5), (4, 5)]]",0.4906,None,0.0,"[257.02, -144.3, 1.0, [(0, 1), (1, 8), (2, 10), (3, 9), (4, 1)]]",0.003
160,"[604.59, 77.13, 6.0, [(0, 19), (1, 19), (2, 19), (3, 19), (4, 19), (5, 19)]]","[169.08, -55.46, 1.0, [(0, 16), (1, 17), (2, 20), (3, 11), (4, 7), (5, 8)]]","[110.66, 2.96, 1.0, [(0, 12), (1, 12), (2, 14), (3, 14), (4, 14), (5, 14)]]","[604.59, 77.13, 6.0, [(0, 19), (1, 19), (2, 19), (3, 19), (4, 19), (5, 19)]]",4.5608,None,0.0,"[167.88, -54.26, 1.0, [(0, 3), (1, 17), (2, 3), (3, 13), (4, 17), (5, 16)]]",0.0055
161,"[1012.75, -897.69, 1.0, [(0, 20), (1, 20)]]","[1036.86, -921.8, 1.0, [(0, 20), (1, 11)]]","[1012.75, -897.69, 1.0, [(0, 20), (1, 20)]]","[1012.75, -897.69, 1.0, [(0, 20), (1, 20)]]",0.003,None,0.0,"[1012.75, -897.69, 1.0, [(0, 20), (1, 20)]]",0.0
162,"[610.71, 85.71, 6.0, [(0, 11), (1, 11), (2, 11)]]","[132.32, -16.25, 1.0, [(0, 12), (1, 4), (2, 5)]]","[123.33, -7.26, 1.0, [(0, 19), (1, 19), (2, 6)]]","[610.71, 85.71, 6.0, [(0, 11), (1, 11), (2, 11)]]",0.0085,None,0.0,"[407.14, 57.14, 4.0, [(0, 19), (1, 19), (2, 19)]]",0.0
163,"[73.77, 633.03, 6.0, [(0, 3), (1, 3), (2, 3), (3, 3)]]","[61.05, 56.75, 1.0, [(0, 17), (1, 3), (2, 17), (3, 16)]]","[23.11, 94.69, 1.0, [(0, 17), (1, 3), (2, 3), (3, 3)]]","[73.77, 633.03, 6.0, [(0, 3), (1, 3), (2, 3), (3, 3)]]",0.0337,None,0.0,"[35.33, 82.47, 1.0, [(0, 15), (1, 3), (2, 17), (3, 17)]]",0.0031
164,None,None,None,None,0.0041,None,0.0,None,0.0105
165,"[133.2, -13.08, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 20), (5, 20)]]","[210.99, -90.87, 1.0, [(0, 6), (1, 19), (2, 6), (3, 18), (4, 14), (5, 14)]]","[133.2, -13.08, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 20), (5, 20)]]","[133.2, -13.08, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 20), (5, 20)]]",0.1491,None,0.0,None,0.0161
166,None,None,None,None,0.002,None,0.0,None,0.005
167,None,None,None,None,0.004,None,0.0,None,0.007
168,"[114.84, 380.04, 4.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]","[70.42, 53.3, 1.0, [(0, 11), (1, 10), (2, 1), (3, 1)]]","[41.99, 81.73, 1.0, [(0, 20), (1, 16), (2, 16), (3, 16)]]","[114.84, 380.04, 4.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]",0.0243,None,0.0,"[70.02, 53.7, 1.0, [(0, 3), (1, 4), (2, 3), (3, 3)]]",0.0065
169,"[135.84, 738.32, 7.0, [(0, 5), (1, 4), (2, 4), (3, 4), (4, 4)]]","[78.06, 46.82, 1.0, [(0, 17), (1, 16), (2, 17), (3, 16), (4, 20)]]","[34.85, 90.03, 1.0, [(0, 5), (1, 5), (2, 5), (3, 4), (4, 4)]]","[135.84, 738.32, 7.0, [(0, 5), (1, 4), (2, 4), (3, 4), (4, 4)]]",0.2581,"[77.19, 47.69, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[45.51, 79.37, 1.0, [(0, 5), (1, 6), (2, 6), (3, 6), (4, 18)]]",0.0095
170,"[391.6, -265.09, 1.0, [(0, 13), (1, 13), (2, 5), (3, 5), (4, 5), (5, 5)]]","[403.57, -277.06, 1.0, [(0, 12), (1, 4), (2, 5), (3, 5), (4, 5), (5, 5)]]","[391.6, -265.09, 1.0, [(0, 13), (1, 13), (2, 5), (3, 5), (4, 5), (5, 5)]]","[403.22, -276.71, 1.0, [(0, 19), (1, 6), (2, 5), (3, 5), (4, 5), (5, 5)]]",0.0686,None,0.0,None,0.0135
171,"[95.31, 669.87, 6.0, [(0, 15), (1, 15)]]","[39.51, 88.02, 1.0, [(0, 20), (1, 16)]]","[38.58, 88.95, 1.0, [(0, 20), (1, 11)]]","[95.31, 669.87, 6.0, [(0, 15), (1, 15)]]",0.0044,"[38.81, 88.72, 1.0, [(0, 1), (1, 2)]]",0.0,"[39.04, 88.49, 1.0, [(0, 15), (1, 9)]]",0.0
172,"[131.16, 384.52, 4.0, [(0, 18), (1, 18), (2, 18)]]","[78.71, 50.21, 1.0, [(0, 12), (1, 19), (2, 12)]]","[45.79, 83.13, 1.0, [(0, 14), (1, 13), (2, 13)]]","[131.16, 384.52, 4.0, [(0, 18), (1, 18), (2, 18)]]",0.0131,None,0.0,"[78.59, 50.33, 1.0, [(0, 15), (1, 3), (2, 17)]]",0.0
173,"[169.1, -38.81, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20)]]","[220.85, -90.56, 1.0, [(0, 20), (1, 16), (2, 9), (3, 9)]]","[169.1, -38.81, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20)]]","[169.1, -38.81, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20)]]",0.049,None,0.0,"[193.4, -63.11, 1.0, [(0, 15), (1, 2), (2, 2), (3, 2)]]",0.005
174,"[196.32, 460.53, 5.0, [(0, 6), (1, 18), (2, 18), (3, 18), (4, 18)]]","[107.58, 23.79, 1.0, [(0, 11), (1, 19), (2, 6), (3, 7), (4, 19)]]","[61.57, 69.8, 1.0, [(0, 12), (1, 12), (2, 12), (3, 14), (4, 14)]]","[197.22, 459.63, 5.0, [(0, 20), (1, 18), (2, 18), (3, 18), (4, 18)]]",0.5162,"[106.93, 24.44, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[66.26, 65.11, 1.0, [(0, 12), (1, 14), (2, 14), (3, 13), (4, 13)]]",0.001
175,None,None,None,None,0.0202,None,0.0,None,0.0145
176,"[110.64, 692.22, 6.0, [(0, 16), (1, 16)]]","[63.1, 204.52, 2.0, [(0, 20), (1, 10)]]","[55.32, 346.11, 3.0, [(0, 19), (1, 19)]]","[110.64, 692.22, 6.0, [(0, 16), (1, 16)]]",0.0047,"[62.59, 205.03, 2.0, [(0, 1), (1, 2)]]",0.0,"[93.11, 308.32, 3.0, [(0, 4), (1, 12)]]",0.0
177,"[479.34, -344.63, 1.0, [(0, 20), (1, 10), (2, 10)]]","[480.34, -345.63, 1.0, [(0, 12), (1, 19), (2, 19)]]","[479.34, -344.63, 1.0, [(0, 20), (1, 10), (2, 10)]]","[479.34, -344.63, 1.0, [(0, 20), (1, 10), (2, 10)]]",0.0089,None,0.0,"[480.34, -345.63, 1.0, [(0, 9), (1, 10), (2, 10)]]",0.0
178,None,None,None,None,0.0023,None,0.0,None,0.0072
179,"[265.8, 560.94, 6.0, [(0, 4), (1, 16), (2, 16), (3, 16), (4, 16)]]","[100.01, 37.78, 1.0, [(0, 17), (1, 12), (2, 11), (3, 8), (4, 19)]]","[55.32, 82.47, 1.0, [(0, 18), (1, 18), (2, 18), (3, 13), (4, 13)]]","[266.13, 560.61, 6.0, [(0, 20), (1, 16), (2, 16), (3, 16), (4, 16)]]",0.9469,"[98.78, 39.01, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[90.32, 47.47, 1.0, [(0, 10), (1, 8), (2, 8), (3, 11), (4, 19)]]",0.0034
180,"[139.93, 833.35, 7.0, [(0, 16), (1, 16), (2, 16), (3, 16), (4, 16), (5, 16)]]","[85.97, 53.07, 1.0, [(0, 16), (1, 4), (2, 16), (3, 4), (4, 16), (5, 17)]]","[45.54, 93.5, 1.0, [(0, 17), (1, 17), (2, 17), (3, 17), (4, 17), (5, 20)]]","[174.32, 798.96, 7.0, [(0, 20), (1, 17), (2, 17), (3, 17), (4, 17), (5, 17)]]",6.8619,"[84.76, 54.28, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]]",0.0,"[83.96, 55.08, 1.0, [(0, 20), (1, 11), (2, 7), (3, 11), (4, 19), (5, 6)]]",0.0083
181,"[146.0, 415.16, 4.0, [(0, 19), (1, 19)]]","[53.86, 86.43, 1.0, [(0, 20), (1, 11)]]","[53.69, 86.6, 1.0, [(0, 17), (1, 13)]]","[146.0, 415.16, 4.0, [(0, 19), (1, 19)]]",0.003,"[107.04, 173.54, 2.0, [(0, 1), (1, 2)]]",0.0,"[53.69, 86.6, 1.0, [(0, 16), (1, 9)]]",0.0
182,"[187.65, -46.24, 1.0, [(0, 20), (1, 20), (2, 20)]]","[409.01, -126.19, 2.0, [(0, 4), (1, 3), (2, 3)]]","[187.65, -46.24, 1.0, [(0, 20), (1, 20), (2, 20)]]","[408.67, -125.85, 2.0, [(0, 20), (1, 11), (2, 11)]]",0.006,None,0.0,"[187.65, -46.24, 1.0, [(0, 14), (1, 14), (2, 14)]]",0.0022
183,"[154.16, 416.32, 4.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]","[82.26, 60.36, 1.0, [(0, 14), (1, 12), (2, 4), (3, 4)]]","[66.23, 76.39, 1.0, [(0, 20), (1, 20), (2, 11), (3, 11)]]","[154.16, 416.32, 4.0, [(0, 19), (1, 19), (2, 19), (3, 19)]]",0.0262,None,0.0,"[81.98, 60.64, 1.0, [(0, 9), (1, 10), (2, 9), (3, 9)]]",0.0048
184,"[193.67, 956.81, 8.0, [(0, 16), (1, 9), (2, 9), (3, 9), (4, 9)]]","[76.7, 67.11, 1.0, [(0, 8), (1, 1), (2, 8), (3, 1), (4, 8)]]","[48.31, 95.5, 1.0, [(0, 18), (1, 18), (2, 18), (3, 18), (4, 14)]]","[194.02, 956.46, 8.0, [(0, 18), (1, 6), (2, 6), (3, 6), (4, 6)]]",0.1578,"[74.73, 69.08, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,None,0.013
185,None,None,None,None,0.0281,None,0.0,None,0.009
186,"[124.83, 750.93, 6.0, [(0, 20), (1, 20)]]","[40.64, 105.32, 1.0, [(0, 19), (1, 7)]]","[40.44, 105.52, 1.0, [(0, 17), (1, 13)]]","[124.83, 750.93, 6.0, [(0, 20), (1, 20)]]",0.0035,"[40.44, 105.52, 1.0, [(0, 1), (1, 2)]]",0.0,"[40.44, 105.52, 1.0, [(0, 2), (1, 3)]]",0.0
187,None,None,None,None,0.003,None,0.0,None,0.007
188,"[149.31, 892.92, 7.0, [(0, 17), (1, 17), (2, 17), (3, 17)]]","[90.03, 58.86, 1.0, [(0, 16), (1, 20), (2, 16), (3, 20)]]","[44.86, 104.03, 1.0, [(0, 19), (1, 19), (2, 11), (3, 11)]]","[149.31, 892.92, 7.0, [(0, 17), (1, 17), (2, 17), (3, 17)]]",0.0634,"[89.05, 59.84, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[55.33, 93.56, 1.0, [(0, 7), (1, 6), (2, 5), (3, 5)]]",0.001
189,"[210.57, 991.11, 8.0, [(0, 4), (1, 3), (2, 3), (3, 3), (4, 3)]]","[92.86, 57.35, 1.0, [(0, 13), (1, 14), (2, 12), (3, 11), (4, 20)]]","[44.17, 106.04, 1.0, [(0, 20), (1, 20), (2, 20), (3, 11), (4, 11)]]","[211.3, 990.38, 8.0, [(0, 19), (1, 6), (2, 6), (3, 6), (4, 6)]]",0.2778,"[91.65, 58.56, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5)]]",0.0,"[77.8, 72.41, 1.0, [(0, 6), (1, 6), (2, 6), (3, 5), (4, 13)]]",0.0035
190,None,None,None,None,0.0272,None,0.0,None,0.0114
191,"[365.76, -213.51, 1.0, [(0, 20), (1, 20)]]","[365.76, -213.51, 1.0, [(0, 20), (1, 20)]]","[365.76, -213.51, 1.0, [(0, 20), (1, 20)]]","[365.76, -213.51, 1.0, [(0, 20), (1, 20)]]",0.002,None,0.0,"[365.76, -213.51, 1.0, [(0, 11), (1, 11)]]",0.0011
192,"[597.86, -444.23, 1.0, [(0, 11), (1, 19), (2, 19)]]","[599.37, -445.74, 1.0, [(0, 7), (1, 19), (2, 19)]]","[597.86, -444.23, 1.0, [(0, 11), (1, 19), (2, 19)]]","[598.61, -444.98, 1.0, [(0, 20), (1, 16), (2, 16)]]",0.0061,None,0.0,"[598.61, -444.98, 1.0, [(0, 9), (1, 16), (2, 16)]]",0.0016
193,"[238.85, 534.65, 5.0, [(0, 9), (1, 9), (2, 9), (3, 9)]]","[119.2, 35.5, 1.0, [(0, 16), (1, 9), (2, 16), (3, 9)]]","[73.52, 81.18, 1.0, [(0, 19), (1, 19), (2, 12), (3, 12)]]","[290.25, 483.25, 5.0, [(0, 20), (1, 16), (2, 16), (3, 16)]]",0.1013,"[118.86, 35.84, 1.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[81.74, 72.96, 1.0, [(0, 9), (1, 9), (2, 9), (3, 1)]]",0.0015
194,"[631.05, -474.8, 1.0, [(0, 20), (1, 20), (2, 16), (3, 16), (4, 16)]]","[644.45, -488.2, 1.0, [(0, 11), (1, 7), (2, 8), (3, 8), (4, 8)]]","[631.05, -474.8, 1.0, [(0, 20), (1, 20), (2, 16), (3, 16), (4, 16)]]","[631.05, -474.8, 1.0, [(0, 20), (1, 20), (2, 16), (3, 16), (4, 16)]]",0.0596,None,0.0,None,0.0128
195,None,None,None,None,0.0027,None,0.0,None,0.0081
196,None,None,None,None,0.0015,None,0.0,None,0.0045
197,None,None,None,None,0.005,None,0.0,None,0.0077
198,"[181.58, 945.07, 7.0, [(0, 10), (1, 10), (2, 10), (3, 10)]]","[80.25, 80.7, 1.0, [(0, 16), (1, 9), (2, 15), (3, 14)]]","[48.58, 112.37, 1.0, [(0, 20), (1, 20), (2, 20), (3, 11)]]","[181.58, 945.07, 7.0, [(0, 10), (1, 10), (2, 10), (3, 10)]]",0.1435,"[157.31, 164.59, 2.0, [(0, 1), (1, 2), (2, 3), (3, 4)]]",0.0,"[91.13, 230.77, 2.0, [(0, 4), (1, 4), (2, 3), (3, 3)]]",0.0
199,"[264.5, -102.29, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 20)]]","[336.23, -174.02, 1.0, [(0, 17), (1, 3), (2, 4), (3, 14), (4, 14)]]","[264.5, -102.29, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 20)]]","[264.5, -102.29, 1.0, [(0, 20), (1, 20), (2, 20), (3, 20), (4, 20)]]",0.4943,None,0.0,None,0.0145
200,None,None,None,None,0.2771,None,0.0,None,0.014
